"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"95",30,1,8,1,"rectangular",1,11,19.4423735418659,8.38902133584264,12.24148517003
"96",40,1,8,1,"rectangular",1,11,25.261537980527,10.0290677834015,12.7245420404605
"97",10,1,10,1,"rectangular",1,1,5.80710613933907,6.78359001172872,7.01099642281048
"98",20,1,10,1,"rectangular",1,1,11.907042200078,11.7817460361037,11.7977553790096
"99",30,1,10,1,"rectangular",1,1,13.349275994003,13.5688073148955,14.2362274187186
"100",40,1,10,1,"rectangular",1,1,25.7415296891691,14.596263365522,15.7545457490854
"101",10,1,10,1,"rectangular",1,3,5.80710613933907,4.87922098688522,5.22793956446798
"102",20,1,10,1,"rectangular",1,3,11.907042200078,7.37528183564184,12.2374129497158
"103",30,1,10,1,"rectangular",1,3,13.349275994003,8.40339386771149,13.2859252986296
"104",40,1,10,1,"rectangular",1,3,25.7415296891691,8.2206585399522,13.5144254981629
"105",10,1,10,1,"rectangular",1,5,5.80710613933907,5.85605739549279,5.6878612997142
"106",20,1,10,1,"rectangular",1,5,11.907042200078,7.53859679617155,10.9817684172476
"107",30,1,10,1,"rectangular",1,5,13.349275994003,5.2041170852126,13.0142621013639
"108",40,1,10,1,"rectangular",1,5,25.7415296891691,4.87687888564312,13.5333689166795
"109",10,1,10,1,"rectangular",1,7,5.80710613933907,5.87441511203174,5.75104210121652
"110",20,1,10,1,"rectangular",1,7,11.907042200078,8.53125507718605,11.1835200374054
"111",30,1,10,1,"rectangular",1,7,13.349275994003,5.2814135100238,12.8974273447219
"112",40,1,10,1,"rectangular",1,7,25.7415296891691,4.85189926091226,13.4365927433784
"113",10,1,10,1,"rectangular",1,9,5.80710613933907,5.80710613933907,5.73534916814885
"114",20,1,10,1,"rectangular",1,9,11.907042200078,9.81268512125044,11.2626325879793
"115",30,1,10,1,"rectangular",1,9,13.349275994003,6.49998559948488,12.8975776319999
"116",40,1,10,1,"rectangular",1,9,25.7415296891691,5.78725089412316,13.4768710647979
"117",10,1,10,1,"rectangular",1,11,5.80710613933907,5.80710613933907,5.73534916814885
"118",20,1,10,1,"rectangular",1,11,11.907042200078,10.597778347355,11.4896332766663
"119",30,1,10,1,"rectangular",1,11,13.349275994003,7.54787681147633,12.8995901685422
"120",40,1,10,1,"rectangular",1,11,25.7415296891691,7.5108626249584,13.8593343205097
