"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"151",30,1.5,4,1,"rectangular",1,3,11.9036051275142,1.13895462047052,31.995408020377,10.0940946481524
"152",40,1.5,4,1,"rectangular",1,3,14.0730062442421,0.55448883217179,42.5188824131536,7.74338792837316
"153",10,1.5,5,1,"rectangular",1,3,4.46348813720738,2.78272970380332,9.94322031088039,8.01557341085168
"154",20,1.5,5,1,"rectangular",1,3,13.2664781864695,2.82393878076106,26.8145473204891,12.7824410614882
"155",30,1.5,5,1,"rectangular",1,3,21.880846892386,2.86521955878591,44.8448481080832,16.5083818388578
"156",40,1.5,5,1,"rectangular",1,3,13.7840906739365,0.819464786598713,44.1195225432771,9.57106559212746
"157",10,1,2,1,"rectangular",1,3,4.53877968610678,2.20206578711515,8.63989758154215,5.82102515130457
"158",20,1,2,1,"rectangular",1,3,10.6078488383959,1.55031540892734,19.1267507010256,7.00002918065875
"159",30,1,2,1,"rectangular",1,3,6.93741929681463,1.05450315443461,25.3531250432295,7.75971293409031
"160",40,1,2,1,"rectangular",1,3,6.18782394184753,0.676510593919066,32.3631244350342,8.70621802563606
"161",10,1,3,1,"rectangular",1,3,4.27390871534084,2.92514391371537,9.99244746709938,8.23638327564472
"162",20,1,3,1,"rectangular",1,3,6.69951944839628,1.87744888939284,19.1260209650808,7.62272245947716
"163",30,1,3,1,"rectangular",1,3,11.7684851829729,1.71347217093547,29.7516953150444,12.0815806637806
"164",40,1,3,1,"rectangular",1,3,18.6229612443631,0.995524307369412,48.694664558258,9.62516991391241
"165",10,1,4,1,"rectangular",1,3,4.11910426116408,2.97934234466503,9.91616592266352,8.10173396897514
"166",20,1,4,1,"rectangular",1,3,7.79627822320159,1.74902393951251,20.5799131240065,8.12054035144391
"167",30,1,4,1,"rectangular",1,3,19.5028887434374,2.97107554041632,42.7907374866998,16.8597145343755
"168",40,1,4,1,"rectangular",1,3,12.1642594917331,2.07751460208967,42.1815096178173,17.0000270740677
"169",10,1,5,1,"rectangular",1,3,3.32724975287547,3.07770505504742,8.63354159449502,6.45857556756315
"170",20,1,5,1,"rectangular",1,3,12.0321693471991,3.88878455447787,23.7854401309334,12.9724687729141
"171",30,1,5,1,"rectangular",1,3,21.2205068089758,3.49579261759909,42.2136008498356,17.390471768287
"172",40,1,5,1,"rectangular",1,3,31.5109648125755,3.22290107665784,65.8584690484344,19.8529182490567
"173",10,1,2,0,"rectangular",1,1,4.29024456935057,7.91894037952614,9.88877644456287,11.3585958741098
"174",20,1,2,0,"rectangular",1,1,9.27303232735526,9.4944385814821,24.8450234581101,23.8717513186017
"175",30,1,2,0,"rectangular",1,1,26.9941195838395,10.4688960073216,52.4766018990223,36.8094787034861
"176",40,1,2,0,"rectangular",1,1,25.1581891014971,11.0041366757372,64.9888298157502,49.6621308902148
"177",10,1,3,0,"rectangular",1,1,3.90309749631038,15.2376037084512,9.65061076377635,19.1236508008134
"178",20,1,3,0,"rectangular",1,1,13.6469212119052,22.8973047961069,33.21075767449,42.2874946871825
"179",30,1,3,0,"rectangular",1,1,27.1786194749622,26.0488549018554,59.7384408769358,65.9463717569247
"180",40,1,3,0,"rectangular",1,1,30.1746332800625,27.6810574728421,76.3499203601096,89.5632261862243
"181",10,1,4,0,"rectangular",1,1,5.46798111351803,22.2427301453911,9.61725129763099,26.0476704995747
"182",20,1,4,0,"rectangular",1,1,13.4015256936222,38.093925075343,32.8991124294662,59.9890001952965
"183",30,1,4,0,"rectangular",1,1,42.5284494311984,46.0066902433631,80.0430250835226,94.3477567116288
"184",40,1,4,0,"rectangular",1,1,63.1214246460308,49.9319468586248,114.367682841653,128.693934638093
"185",10,1,5,0,"rectangular",1,1,8.09260880244346,28.5544385170626,11.1803087414881,32.1212269054333
"186",20,1,5,0,"rectangular",1,1,13.7411509898816,54.0646150838465,31.6185065548754,76.5181642588319
"187",30,1,5,0,"rectangular",1,1,37.7303759294301,68.3581851678744,77.1728780607314,121.508106985132
"188",40,1,5,0,"rectangular",1,1,69.1761600539725,76.2893085479295,125.519897288381,166.468655890531
"189",10,1,2,0,"rectangular",1,2,4.29024456935057,6.94341699760177,9.88877644456287,9.20894352556321
"190",20,1,2,0,"rectangular",1,2,9.27303232735526,5.8639972858753,24.8450234581101,15.1036096710797
"191",30,1,2,0,"rectangular",1,2,26.9941195838395,6.02339595055243,52.4766018990223,23.5627148338086
"192",40,1,2,0,"rectangular",1,2,25.1581891014971,6.65852515428304,64.9888298157502,31.4463447569044
"193",10,1,3,0,"rectangular",1,2,3.90309749631038,12.4122391716972,9.65061076377635,14.9073496944187
"194",20,1,3,0,"rectangular",1,2,13.6469212119052,17.7488141373529,33.21075767449,31.032992076511
"195",30,1,3,0,"rectangular",1,2,27.1786194749622,19.859680100704,59.7384408769358,48.869955574828
"196",40,1,3,0,"rectangular",1,2,30.1746332800625,21.0773740455437,76.3499203601096,66.7837309189399
"197",10,1,4,0,"rectangular",1,2,5.46798111351803,18.1684464391595,9.61725129763099,20.7608504877995
"198",20,1,4,0,"rectangular",1,2,13.4015256936222,32.0469363759246,32.8991124294662,48.236854949813
"199",30,1,4,0,"rectangular",1,2,42.5284494311984,38.7469632394808,80.0430250835226,76.2320261445021
"200",40,1,4,0,"rectangular",1,2,63.1214246460308,41.7963804918828,114.367682841653,104.644629560736
"201",10,1,5,0,"rectangular",1,2,8.09260880244346,23.4051245876204,11.1803087414881,26.2532796669644
"202",20,1,5,0,"rectangular",1,2,13.7411509898816,46.9523830453928,31.6185065548754,64.5135172451364
"203",30,1,5,0,"rectangular",1,2,37.7303759294301,60.2248693954253,77.1728780607314,103.42013411911
"204",40,1,5,0,"rectangular",1,2,69.1761600539725,67.4519874955066,125.519897288381,142.34156646873
