"","GridSize","seed","alpha","lambda","beta","type","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper","SpectralNormSepKron","FrobNormSepKron","L1Selected","L2Selected"
"1492",50,92,1,6,0,"rectangular",59.9136525953839,20.6232407780364,115.774254639026,58.8542668881976,20.6498893091518,59.8318348959476,14,17
"1493",50,93,1,6,0,"rectangular",85.5801157883645,66.5385032698002,177.758923547385,130.469293439269,43.1207343934912,74.4619903814376,19,16
"1494",50,94,1,6,0,"rectangular",62.3458002902671,25.9404914465602,125.345919107941,75.3905181931318,24.0673582121009,65.9554379270631,12,17
"1495",50,95,1,6,0,"rectangular",64.4710004843212,34.5169822000551,146.886783588496,95.4795239261104,48.7321276820412,148.219448191675,19,10
"1496",50,96,1,6,0,"rectangular",73.2161249506256,31.3819032612243,176.9949120372,79.5302670536159,47.4114205103982,172.786912868425,13,13
"1497",50,97,1,6,0,"rectangular",114.610348610229,109.739792147784,186.02063777857,172.178901307057,103.769990084831,170.887629892511,23,20
"1498",50,98,1,6,0,"rectangular",86.6056555693921,63.3616228139018,169.61903211546,124.940411432265,70.1354462649692,121.676708123858,11,10
"1499",50,99,1,6,0,"rectangular",145.790977967342,139.904228159177,299.086010749745,296.00520471508,82.5277930436982,186.400771396413,28,36
"1500",50,100,1,6,0,"rectangular",97.2180897710208,96.3492454866168,202.676783051182,188.802353637185,101.132045877437,212.670225313608,8,13
"1501",60,1,1,2,0,"rectangular",15.4774400943946,5.15757618717015,72.5982430418157,32.4072499590154,3.55201989422599,23.7400380095469,9,5
"1502",60,2,1,2,0,"rectangular",36.8335201979912,4.98449676441325,90.0883601067367,30.741448609487,3.79996425350561,32.3886918462196,7,5
"1503",60,3,1,2,0,"rectangular",19.5821429561158,4.9981446173692,77.0338348226766,36.2842867016124,4.13802064914285,26.3679870190913,8,6
"1504",60,4,1,2,0,"rectangular",19.4031869793363,9.48684399294049,79.6311295801517,46.549197773059,4.46773703952059,27.4094730192058,14,7
"1505",60,5,1,2,0,"rectangular",18.8450614451985,2.82805197938825,74.502033212799,24.3702847035731,2.5531494438926,18.4747852402484,8,6
"1506",60,6,1,2,0,"rectangular",30.7359123217671,2.39380476628972,86.3555583949177,21.3972448593243,1.37438353932067,12.8180183904838,9,6
"1507",60,7,1,2,0,"rectangular",30.01089573815,10.0248974028745,87.1184552469832,45.793724720528,2.38444413354866,20.3509679090765,7,10
"1508",60,8,1,2,0,"rectangular",21.4790326774852,2.67723469487754,83.3973058107833,23.4462800626863,3.02615575881171,20.7441032921277,8,5
"1509",60,9,1,2,0,"rectangular",20.6382345160628,2.53763972850568,79.4774954921798,21.9036266475789,4.91970008855673,25.0179548240619,6,5
"1510",60,10,1,2,0,"rectangular",18.4566986626319,4.50021529399161,71.8980334888711,21.6478361925459,4.54906450302366,20.796553652378,5,6
"1511",60,11,1,2,0,"rectangular",12.1985799691909,5.1329062440089,75.0526366150941,27.2282472618038,4.48841218339161,26.1920339896317,5,7
"1512",60,12,1,2,0,"rectangular",14.5548715254268,4.06052309872195,68.2120783653224,28.3769570262231,4.07853172771919,30.8274064458657,6,9
"1513",60,13,1,2,0,"rectangular",15.8022710945929,4.53829893803507,74.8532043625181,23.0397366646891,4.14722671541296,18.0181357647753,5,5
"1514",60,14,1,2,0,"rectangular",22.2927789832875,2.96109476512227,75.9036234069603,28.4150899508844,1.09366717249661,11.7908900967877,7,7
"1515",60,15,1,2,0,"rectangular",15.7067676966539,5.63460907233925,75.9772241944473,28.9805755179774,2.35244878313874,11.6739462074315,6,6
"1516",60,16,1,2,0,"rectangular",18.1231777123599,2.7606588950284,73.3907071680045,21.5090549141634,2.50485677025098,13.4307725179529,5,7
"1517",60,17,1,2,0,"rectangular",16.3934387058027,4.67286573365495,85.8318792495062,27.7952539523206,2.77446412690705,22.6954755853725,7,5
"1518",60,18,1,2,0,"rectangular",28.5428406325713,6.62695693202148,81.2801218492202,36.1736428144855,3.05066112439477,18.1856941091601,8,7
"1519",60,19,1,2,0,"rectangular",41.4199328487383,3.87249637578734,99.8518224779658,20.7103013936225,3.490409933004,15.9184949317834,5,5
"1520",60,20,1,2,0,"rectangular",16.7667801025804,3.71289454891253,82.0906177674742,26.9150174723089,1.10113758938985,10.106392330869,7,7
"1521",60,21,1,2,0,"rectangular",21.9158989806459,3.35995652277845,80.8914330758288,26.9574563695533,1.60318421898173,13.7360669886865,7,6
"1522",60,22,1,2,0,"rectangular",21.1999324250122,2.62652326184468,80.3328954806619,20.7497901584416,1.31961734903988,11.0236590731183,5,7
"1523",60,23,1,2,0,"rectangular",22.76443887418,4.58615847957801,78.8106362870016,25.3462803345503,5.14005808702149,24.308353584965,5,5
"1524",60,24,1,2,0,"rectangular",21.4548646649625,12.7271351770756,85.5118455120489,51.4617047874575,7.98547100635293,31.1019405530783,11,13
"1525",60,25,1,2,0,"rectangular",15.8074977498545,1.34281715879953,73.3662220621033,13.9639457423037,2.67643002611465,12.2043899979592,6,6
"1526",60,26,1,2,0,"rectangular",27.3859758858859,2.20341940130383,80.9657149338115,18.0289307061756,1.65236116206382,12.8873517149931,7,6
"1527",60,27,1,2,0,"rectangular",19.9273284284973,6.24088619905609,78.63690772772,35.3217075281245,7.43825405885731,32.2235567761904,7,16
"1528",60,28,1,2,0,"rectangular",23.2259868201162,4.51616775823644,84.5882736788994,29.6680583235378,2.70998528552352,18.928347174258,5,8
"1529",60,29,1,2,0,"rectangular",13.075892106808,3.19232166359718,74.831704476025,19.425693954571,3.1321022264366,33.5341121770401,6,5
"1530",60,30,1,2,0,"rectangular",22.7198819233401,4.55948370899284,94.7493912495701,33.0623610498605,3.94131447957531,32.6396581328489,6,10
"1531",60,31,1,2,0,"rectangular",14.302684980919,3.9358483055642,75.1678866212751,23.3624690375503,3.5699946408566,19.7116576156355,7,5
"1532",60,32,1,2,0,"rectangular",13.3462674875131,8.16100448850291,79.2954642055683,40.4543813753438,6.48103804993438,40.5138857704305,7,5
"1533",60,33,1,2,0,"rectangular",16.976780041626,5.2715102447004,84.9490042833453,40.1953594771701,4.23379708190095,26.2370917878391,4,11
"1534",60,34,1,2,0,"rectangular",20.2398320236325,4.59238310452637,87.0620874631792,26.8897800309612,3.12130544113823,18.1171879755235,5,7
"1535",60,35,1,2,0,"rectangular",20.7606195008059,2.38838692538244,76.0101676018654,16.977431099685,2.12771509526723,17.7829426621889,7,6
"1536",60,36,1,2,0,"rectangular",19.4699680697508,3.76201131164804,75.1397130559944,21.9335544510421,5.11965568554283,27.9565927269152,6,5
"1537",60,37,1,2,0,"rectangular",23.5922783663743,4.092760622086,82.0851081449127,25.1311533866248,1.7952773188592,17.2843264867218,6,5
"1538",60,38,1,2,0,"rectangular",18.6501273759718,4.75615096676916,76.9847472085392,24.0385261830016,5.74185621629799,30.3310896310664,5,5
"1539",60,39,1,2,0,"rectangular",19.7805577631283,4.76504613921492,76.9553364547051,22.6022139354012,5.70668431714963,28.5496940180245,5,5
"1540",60,40,1,2,0,"rectangular",26.6285130585131,1.63900259961599,79.4657669672862,11.7803136636865,1.28529018359175,7.67627880632513,6,6
"1541",60,41,1,2,0,"rectangular",27.8838187070118,3.65829245772822,91.0460444769274,28.7219432022439,0.908068290750947,8.64485925254323,6,7
"1542",60,42,1,2,0,"rectangular",30.1492412037547,6.98998156058534,96.6253406410131,35.3381351299013,3.25834852190425,18.5069157282079,10,6
"1543",60,43,1,2,0,"rectangular",14.569924152243,3.37904233312801,78.2804898185998,23.6250995940124,2.56949191021433,16.2212035979736,8,5
"1544",60,44,1,2,0,"rectangular",29.589331699944,3.20804837500928,92.5063575687656,23.9758866567477,3.80772721351131,28.4134208045047,5,7
"1545",60,45,1,2,0,"rectangular",18.8565063161428,2.46340088536154,79.3858677414932,17.9922092181651,2.2659080636935,20.9130724175962,6,5
"1546",60,46,1,2,0,"rectangular",16.7316763486069,3.12288169727838,76.4783890042658,20.3438611356942,1.85057726588565,17.1605969572355,5,6
"1547",60,47,1,2,0,"rectangular",24.2345524341243,4.25699331192074,77.2915695524403,26.2238487700882,2.36481336059714,15.0352822131258,6,11
"1548",60,48,1,2,0,"rectangular",28.1546493638182,7.64073738230185,87.9181754144042,35.7307449382838,1.78659818678515,13.5940505338211,9,6
"1549",60,49,1,2,0,"rectangular",27.4011719168469,2.81949306003628,89.535100780867,25.0816201227064,4.51351897221497,29.2926795993208,6,8
"1550",60,50,1,2,0,"rectangular",26.493172239519,4.36370771199982,85.4688285153069,22.8935335442066,2.53080271398839,11.8184690658331,6,6
"1551",60,51,1,2,0,"rectangular",15.5982298975447,2.37057561819406,73.6834214730114,22.0117668404452,2.94027633231817,15.3305187615504,6,6
"1552",60,52,1,2,0,"rectangular",28.4762558906019,7.66089514857902,84.219399720904,43.1422233010569,4.29135570278576,23.4555717706114,6,12
"1553",60,53,1,2,0,"rectangular",23.2905720561461,3.94675227386957,77.7457577477876,18.7703395185358,3.42437242112239,16.0512789197334,6,5
"1554",60,54,1,2,0,"rectangular",21.1557706825838,4.04160470954212,80.3846565957163,31.2638337443642,3.90772323510581,26.5406756806732,5,9
"1555",60,55,1,2,0,"rectangular",16.4695876647135,4.8383189459561,75.8086431874936,27.9778406413458,3.39773853323115,19.592730855728,5,11
"1556",60,56,1,2,0,"rectangular",26.7546058599635,10.5452857638581,87.163254165332,49.29476741874,8.80339585335793,43.7916937248288,8,5
"1557",60,57,1,2,0,"rectangular",49.0935549006243,8.04124961741925,108.05482664441,43.9647856826151,8.44425676855175,53.554835454987,6,8
"1558",60,58,1,2,0,"rectangular",16.4723409048756,2.07434815979969,71.8306638147003,19.376361176171,4.11471880832524,26.7215025738753,6,7
"1559",60,59,1,2,0,"rectangular",20.9441336034936,4.58157121371211,73.4472723889071,26.6433670451427,3.53870633917524,17.7985399046578,6,14
"1560",60,60,1,2,0,"rectangular",16.9143239546209,4.18758796420888,74.9465149456696,18.4751108860621,3.55955134839977,15.0706683615816,5,5
"1561",60,61,1,2,0,"rectangular",22.2611294278596,2.77872087146543,80.463375030792,23.5221018704945,2.68627314632837,16.4177028699282,5,7
"1562",60,62,1,2,0,"rectangular",28.7706593119501,1.8923852296993,80.8271348521362,17.3065550334186,1.76389051892678,12.6501905126003,9,7
"1563",60,63,1,2,0,"rectangular",24.1830603720773,2.44599474411656,87.1198266265443,22.0173275886381,1.90973789775749,17.4356904518691,5,6
