GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
10;1;1;1;10;1;rectangular;8.498873198;8.62581122;9.755018
10;2;1;1;10;1;rectangular;7.387091564;6.725754255;7.5248736
10;3;1;1;10;1;rectangular;8.452320394;8.631394959;9.647648176
10;4;1;1;10;1;rectangular;8.881533771;8.55792971;9.541444294
10;5;1;1;10;1;rectangular;7.327108011;7.787332257;8.830609587
10;6;1;1;10;1;rectangular;9.982898382;8.62502541;9.749105589
10;7;1;1;10;1;rectangular;9.192828662;6.10672682;7.806233158
10;8;1;1;10;1;rectangular;7.212759541;7.537998667;8.846132228
10;9;1;1;10;1;rectangular;9.137885953;8.052956684;9.017866332
10;10;1;1;10;1;rectangular;8.496022714;8.265547822;9.45955553
10;11;1;1;10;1;rectangular;9.330343233;8.080990866;9.024849456
10;12;1;1;10;1;rectangular;8.580330873;8.183304159;9.395726913
10;13;1;1;10;1;rectangular;8.91026464;9.099174811;10.0490266
10;14;1;1;10;1;rectangular;6.374993475;5.366725587;5.319059751
10;15;1;1;10;1;rectangular;4.860037073;7.284978594;8.460529251
10;16;1;1;10;1;rectangular;9.620857286;8.682104226;9.718130823
10;17;1;1;10;1;rectangular;9.157457499;8.986128612;9.890972353
10;18;1;1;10;1;rectangular;10.98644415;4.779228693;5.240997167
10;19;1;1;10;1;rectangular;9.006640283;8.939467481;9.880641546
10;20;1;1;10;1;rectangular;7.989507413;7.137930455;7.785493812
10;21;1;1;10;1;rectangular;9.420094896;8.282093511;9.0122109
10;22;1;1;10;1;rectangular;8.065054567;5.483797857;5.702876346
10;23;1;1;10;1;rectangular;10.17637378;8.480218431;9.213075189
10;24;1;1;10;1;rectangular;8.8979106;8.985831673;9.877042001
10;25;1;1;10;1;rectangular;8.833339463;8.449116084;9.430849225
10;26;1;1;10;1;rectangular;7.705755886;8.743329664;9.816575898
10;27;1;1;10;1;rectangular;7.76167184;5.500346884;5.863048947
10;28;1;1;10;1;rectangular;8.212909664;8.148735037;9.236710118
10;29;1;1;10;1;rectangular;8.658197813;8.306458143;9.225352239
10;30;1;1;10;1;rectangular;8.976261047;7.533346854;8.383698765
10;31;1;1;10;1;rectangular;7.83830786;8.037195471;9.351674672
10;32;1;1;10;1;rectangular;8.429036918;9.220510037;10.1505473
10;33;1;1;10;1;rectangular;10.15578931;8.829568027;9.652461617
10;34;1;1;10;1;rectangular;8.408507032;8.522033077;9.556229789
10;35;1;1;10;1;rectangular;9.133082959;7.67264607;8.341586487
10;36;1;1;10;1;rectangular;6.242466408;7.949457479;9.313882896
10;37;1;1;10;1;rectangular;9.469404089;9.02102179;9.899399166
10;38;1;1;10;1;rectangular;9.284948804;8.485298112;9.431882728
10;39;1;1;10;1;rectangular;8.047271306;8.692991219;9.746927265
10;40;1;1;10;1;rectangular;9.234350627;8.733161638;9.594728786
10;41;1;1;10;1;rectangular;8.045544545;8.205038794;9.160917539
10;42;1;1;10;1;rectangular;7.949979478;7.715337129;9.153293064
10;43;1;1;10;1;rectangular;8.591001004;8.279814363;9.404862666
10;44;1;1;10;1;rectangular;8.696954054;6.538955423;7.151688177
10;45;1;1;10;1;rectangular;7.562101371;7.862499744;9.019722467
10;46;1;1;10;1;rectangular;7.759172514;8.141451589;9.504211928
10;47;1;1;10;1;rectangular;8.957342767;9.076023216;10.06839201
10;48;1;1;10;1;rectangular;13.26368428;4.285029065;6.549424191
10;49;1;1;10;1;rectangular;7.754676565;7.525163262;8.218948422
10;50;1;1;10;1;rectangular;8.997298199;8.165495756;9.169245087
10;51;1;1;10;1;rectangular;9.530109286;8.307345233;9.25792218
10;52;1;1;10;1;rectangular;9.226761229;7.340136093;8.040467987
10;53;1;1;10;1;rectangular;5.375255532;7.22248913;8.48580236
10;54;1;1;10;1;rectangular;6.808677823;6.430531465;7.237995498
