"","GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
"1175",40,75,1,6,0,"rectangular",80.2244662621121,58.3144973501822,57.6014939362578,12,9
"1176",40,76,1,6,0,"rectangular",107.255030102018,97.7737113133649,100.894608347458,8,8
"1177",40,77,1,6,0,"rectangular",72.3848198233397,60.5011009187864,49.5101209440833,11,12
"1178",40,78,1,6,0,"rectangular",82.1784638866471,74.3465825443958,49.421859849846,24,10
"1179",40,79,1,6,0,"rectangular",92.8306577253567,79.8182430211418,60.2076935489609,15,22
"1180",40,80,1,6,0,"rectangular",102.890131757868,94.7007286231892,95.1332687176167,6,6
"1181",40,81,1,6,0,"rectangular",91.9847303248734,90.5029274011876,85.610174051216,12,14
"1182",40,82,1,6,0,"rectangular",98.6632532233411,80.7716297141074,74.7415865923676,8,15
"1183",40,83,1,6,0,"rectangular",106.790020357647,89.3554969692542,78.3837066128484,7,9
"1184",40,84,1,6,0,"rectangular",92.5063653621282,80.8333566965677,77.4351981802727,12,25
"1185",40,85,1,6,0,"rectangular",89.628775283402,89.5545572150323,48.3766846944442,18,17
"1186",40,86,1,6,0,"rectangular",82.0950465039092,77.0413005437841,82.4014039796729,12,14
"1187",40,87,1,6,0,"rectangular",119.951601845138,54.4603831119094,62.6628301833799,10,24
"1188",40,88,1,6,0,"rectangular",69.1514342538533,30.2446781395371,29.5152983352494,11,15
"1189",40,89,1,6,0,"rectangular",79.7937318831276,73.5972029488298,40.1240577630211,23,24
"1190",40,90,1,6,0,"rectangular",97.8158236950239,76.8453127425728,77.1778409326553,7,11
"1191",40,91,1,6,0,"rectangular",100.960353349396,43.500585914687,37.9638481774621,14,12
"1192",40,92,1,6,0,"rectangular",84.8409061098057,62.6290928360827,60.7432748719632,9,10
"1193",40,93,1,6,0,"rectangular",91.5117697501193,91.3614984728632,85.3624018773186,15,20
"1194",40,94,1,6,0,"rectangular",65.2779659648805,44.0549037081179,29.8883659384537,9,16
"1195",40,95,1,6,0,"rectangular",72.2045493164477,67.6129587245878,37.0965958152586,17,26
"1196",40,96,1,6,0,"rectangular",116.285913704111,89.5123990030592,88.6270828367062,28,14
"1197",40,97,1,6,0,"rectangular",71.4537423298565,63.0679119146805,43.9664782231499,30,20
"1198",40,98,1,6,0,"rectangular",92.2668549069248,71.6788793582248,60.0314540844989,12,27
"1199",40,99,1,6,0,"rectangular",106.824501900807,104.341621683366,73.0453204556452,29,22
"1200",40,100,1,6,0,"rectangular",108.604345800306,100.656304789152,100.782784159038,7,8
"1201",50,1,1,2,0,"rectangular",13.0775524942861,6.27997459562113,6.88495330430923,5,4
"1202",50,2,1,2,0,"rectangular",32.3936937356965,4.34439325395107,3.57619821861859,5,5
"1203",50,3,1,2,0,"rectangular",11.756800864014,7.95145161819135,7.27314908740975,4,5
"1204",50,4,1,2,0,"rectangular",25.1345684833833,4.59629811029624,5.7721383109817,5,5
"1205",50,5,1,2,0,"rectangular",13.7491510375048,3.05322079516082,1.78116627617838,7,6
"1206",50,6,1,2,0,"rectangular",19.1735794809925,3.0517081450746,2.5367434099215,5,7
"1207",50,7,1,2,0,"rectangular",38.4041280672938,2.54064866855534,3.32636783488349,5,6
"1208",50,8,1,2,0,"rectangular",24.0580762747089,6.12299238245719,3.32043928503223,6,11
"1209",50,9,1,2,0,"rectangular",17.9398906262738,4.860546652059,4.99526003973354,5,5
"1210",50,10,1,2,0,"rectangular",13.193776492684,5.00948768146232,4.86319788270762,5,6
"1211",50,11,1,2,0,"rectangular",12.3513294391462,6.45696128757414,5.75292980522104,6,5
"1212",50,12,1,2,0,"rectangular",14.9441056772288,5.91156993735561,5.49718688905562,11,6
"1213",50,13,1,2,0,"rectangular",16.0058439122971,4.72560572749052,4.01668187974967,4,6
"1214",50,14,1,2,0,"rectangular",16.9257621106717,3.06286625951736,1.8358155603224,6,6
"1215",50,15,1,2,0,"rectangular",13.3386861520649,4.62630570774733,3.29643437002427,7,4
"1216",50,16,1,2,0,"rectangular",12.7494702175308,3.34775191229597,3.42119163495557,6,5
"1217",50,17,1,2,0,"rectangular",16.1547396175949,5.28447204273216,1.94595949654646,5,5
"1218",50,18,1,2,0,"rectangular",38.3955332906009,5.79485110964429,2.50087144624726,6,7
"1219",50,19,1,2,0,"rectangular",20.4743586292076,7.29587457954812,4.53021566609594,5,5
"1220",50,20,1,2,0,"rectangular",33.1382485110934,2.73226300498919,1.75528775939239,5,7
"1221",50,21,1,2,0,"rectangular",31.3188497684816,4.3498398759672,2.53316947803778,9,6
"1222",50,22,1,2,0,"rectangular",21.7398734145499,3.53711977593854,1.10431307643622,7,6
"1223",50,23,1,2,0,"rectangular",15.7454839097537,5.747625855417,3.63617954347969,6,6
"1224",50,24,1,2,0,"rectangular",14.7207968839855,7.78817365553185,5.24149910391108,5,5
