"GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
10,17,1,4,0,"trapezoid",26.6685038408171,26.2989373938365,26.1994666790704,2,2
10,18,1,4,0,"trapezoid",17.3424568662375,12.2477539814666,7.99545714468885,3,7
10,19,1,4,0,"trapezoid",26.3794901383223,26.0720679793571,26.536432181426,3,1
10,20,1,4,0,"trapezoid",20.8797963510851,16.2931229400282,15.5725089902833,2,5
10,21,1,4,0,"trapezoid",19.8219923673643,17.8154860439979,11.9705335675191,3,4
10,22,1,4,0,"trapezoid",14.9963832470532,9.42555513744828,8.28721582241582,5,3
10,23,1,4,0,"trapezoid",23.9831622042967,22.858049808008,23.3052272722615,3,3
10,24,1,4,0,"trapezoid",26.0500649189356,25.8440836265294,26.3893774627006,2,2
10,25,1,4,0,"trapezoid",22.1453800997733,20.687435610532,20.438272411752,4,2
10,26,1,4,0,"trapezoid",23.9558774679825,21.3369794799688,22.6145213684111,2,5
10,27,1,4,0,"trapezoid",23.4112515087229,22.6411523702829,21.9572216083199,3,3
10,28,1,4,0,"trapezoid",23.2192002093379,21.4029472457307,22.134781176384,3,2
10,29,1,4,0,"trapezoid",22.3313100571249,19.5738044617045,18.6637310654653,3,4
10,30,1,4,0,"trapezoid",25.0267017675337,23.1914788264921,24.1556006533979,3,2
10,31,1,4,0,"trapezoid",21.6549984306241,20.3359129519209,20.8563083697736,4,3
10,32,1,4,0,"trapezoid",23.652229360761,22.6425158944398,25.0329178302667,3,4
10,33,1,4,0,"trapezoid",24.1142397862218,22.5561396720836,23.8410362480397,3,2
10,34,1,4,0,"trapezoid",23.5027212060795,22.5872328386699,24.2484084159171,3,3
10,35,1,4,0,"trapezoid",24.0328810517129,21.5058555480493,17.3134961668033,3,3
10,36,1,4,0,"trapezoid",24.2690417780752,23.5463095453102,22.8426593340133,3,4
10,37,1,4,0,"trapezoid",25.7536833272797,25.4207467506292,25.5240584291256,4,2
10,38,1,4,0,"trapezoid",23.1054214509953,21.048564439552,23.0537855256375,2,3
10,39,1,4,0,"trapezoid",24.080654402457,22.9708280970945,24.8328486986955,3,3
10,40,1,4,0,"trapezoid",24.7141532180037,23.1308123387853,23.5778270472784,3,2
10,41,1,4,0,"trapezoid",24.9027461369203,22.4867059513745,23.2715715204761,3,2
